SiteId,SiteName,Rainfall24hr,DataSourceAgency,MonitorDate
75,馬祖,10.6,行政院環保署,2016-11-27
75,馬祖,14.8,行政院環保署,2016-11-26
75,馬祖,0.8,行政院環保署,2016-11-25
75,馬祖,1,行政院環保署,2016-11-24
75,馬祖,25,行政院環保署,2016-11-23
75,馬祖,16,行政院環保署,2016-11-22
75,馬祖,3.6,行政院環保署,2016-11-21
75,馬祖,22,行政院環保署,2016-11-20
75,馬祖,0,行政院環保署,2016-11-19
75,馬祖,0,行政院環保署,2016-11-18
75,馬祖,0,行政院環保署,2016-11-17
75,馬祖,0,行政院環保署,2016-11-16
75,馬祖,0,行政院環保署,2016-11-15
75,馬祖,0,行政院環保署,2016-11-14
75,馬祖,0.8,行政院環保署,2016-11-13
75,馬祖,0,行政院環保署,2016-11-12
75,馬祖,0,行政院環保署,2016-11-11
75,馬祖,2.8,行政院環保署,2016-11-10
75,馬祖,4.2,行政院環保署,2016-11-9
75,馬祖,31.8,行政院環保署,2016-11-8
75,馬祖,0,行政院環保署,2016-11-7
75,馬祖,0,行政院環保署,2016-11-6
75,馬祖,0,行政院環保署,2016-11-5
75,馬祖,0,行政院環保署,2016-11-4
75,馬祖,0,行政院環保署,2016-11-3
75,馬祖,0.2,行政院環保署,2016-11-2
75,馬祖,1.8,行政院環保署,2016-11-1
72,埔里,3.6,行政院環保署,2016-11-30
72,埔里,0,行政院環保署,2016-11-29
72,埔里,0,行政院環保署,2016-11-28
72,埔里,29.6,行政院環保署,2016-11-27
72,埔里,0,行政院環保署,2016-11-26
72,埔里,0,行政院環保署,2016-11-25
72,埔里,0,行政院環保署,2016-11-24
72,埔里,16.4,行政院環保署,2016-11-23
72,埔里,2.2,行政院環保署,2016-11-22
72,埔里,3,行政院環保署,2016-11-21
72,埔里,1.4,行政院環保署,2016-11-20
72,埔里,0,行政院環保署,2016-11-19
72,埔里,0,行政院環保署,2016-11-18
72,埔里,0,行政院環保署,2016-11-17
72,埔里,0,行政院環保署,2016-11-16
72,埔里,0,行政院環保署,2016-11-15
72,埔里,0,行政院環保署,2016-11-14
72,埔里,0,行政院環保署,2016-11-13
72,埔里,0,行政院環保署,2016-11-12
72,埔里,0,行政院環保署,2016-11-11
72,埔里,4.2,行政院環保署,2016-11-10
72,埔里,0,行政院環保署,2016-11-9
72,埔里,0,行政院環保署,2016-11-8
72,埔里,0,行政院環保署,2016-11-7
72,埔里,0,行政院環保署,2016-11-6
72,埔里,0,行政院環保署,2016-11-5
72,埔里,0,行政院環保署,2016-11-4
72,埔里,0,行政院環保署,2016-11-3
72,埔里,0,行政院環保署,2016-11-2
72,埔里,0,行政院環保署,2016-11-1
71,復興,0.4,行政院環保署,2016-11-30
71,復興,0,行政院環保署,2016-11-29
71,復興,0,行政院環保署,2016-11-28
71,復興,47.4,行政院環保署,2016-11-27
71,復興,0.4,行政院環保署,2016-11-26
71,復興,0,行政院環保署,2016-11-25
71,復興,0,行政院環保署,2016-11-24
71,復興,0.2,行政院環保署,2016-11-23
71,復興,1.2,行政院環保署,2016-11-22
71,復興,0,行政院環保署,2016-11-21
71,復興,0,行政院環保署,2016-11-20
71,復興,0,行政院環保署,2016-11-19
71,復興,0.4,行政院環保署,2016-11-18
71,復興,0,行政院環保署,2016-11-17
71,復興,0,行政院環保署,2016-11-16
71,復興,0,行政院環保署,2016-11-15
71,復興,0,行政院環保署,2016-11-14
71,復興,0,行政院環保署,2016-11-13
71,復興,0,行政院環保署,2016-11-12
71,復興,0,行政院環保署,2016-11-11
71,復興,0,行政院環保署,2016-11-10
71,復興,0,行政院環保署,2016-11-9
71,復興,0,行政院環保署,2016-11-8
71,復興,0,行政院環保署,2016-11-7
71,復興,0,行政院環保署,2016-11-6
71,復興,0,行政院環保署,2016-11-5
71,復興,0,行政院環保署,2016-11-4
71,復興,0,行政院環保署,2016-11-3
71,復興,0,行政院環保署,2016-11-2
71,復興,0,行政院環保署,2016-11-1
70,永和,0,行政院環保署,2016-11-30
70,永和,0,行政院環保署,2016-11-29
70,永和,0.8,行政院環保署,2016-11-28
70,永和,10,行政院環保署,2016-11-27
70,永和,3.2,行政院環保署,2016-11-26
70,永和,0,行政院環保署,2016-11-25
70,永和,0.2,行政院環保署,2016-11-24
70,永和,32.2,行政院環保署,2016-11-23
70,永和,20,行政院環保署,2016-11-22
70,永和,19.6,行政院環保署,2016-11-21
70,永和,9.6,行政院環保署,2016-11-20
70,永和,0,行政院環保署,2016-11-19
70,永和,0.8,行政院環保署,2016-11-18
70,永和,0,行政院環保署,2016-11-17
70,永和,0,行政院環保署,2016-11-16
70,永和,0,行政院環保署,2016-11-15
70,永和,0,行政院環保署,2016-11-14
70,永和,0,行政院環保署,2016-11-13
70,永和,0,行政院環保署,2016-11-12
70,永和,0,行政院環保署,2016-11-11
70,永和,8.4,行政院環保署,2016-11-10
70,永和,0,行政院環保署,2016-11-9
